Logical Processors,Start Time,End Time,Execution Time (ms),Depth,Best Move,New FEN string
12,2024-05-17T11:17:10.2594083,2024-05-17T11:17:13.6424886,3383,5,1434,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b
12,2024-05-17T11:17:18.3059966,2024-05-17T11:17:24.3480022,6042,5,1232,rnbqkbnr/pppp1ppp/8/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR b
12,2024-05-17T11:17:32.6258282,2024-05-17T11:17:36.4094625,3783,5,0627,rnbqkbnr/ppp2ppp/3p4/4p3/2P1P3/7N/PP1P1PPP/RNBQKB1R b
12,2024-05-17T11:17:49.1191756,2024-05-17T11:17:50.0743936,955,5,0314,rn1qkbnr/ppp2ppp/3p4/4p3/2P1P3/7b/PP1PQPPP/RNB1KB1R b
12,2024-05-17T11:17:57.9842975,2024-05-17T11:18:01.4847493,3500,5,1121,rnbqkbnr/ppp2ppp/3p4/4p3/2P1P3/1P6/P2PQPPP/RNB1KB1R b
12,2024-05-17T11:18:55.6713643,2024-05-17T11:18:58.5142278,2842,5,3242,r1bqkbnr/ppp2ppp/2np4/2P1p3/4P3/1P6/P2PQPPP/RNB1KB1R b
12,2024-05-17T11:19:31.5025764,2024-05-17T11:19:36.1303412,4627,5,1424,r1bqkbnr/ppp2ppp/2n5/2p1p3/4P3/1P2Q3/P2P1PPP/RNB1KB1R b
12,2024-05-17T11:20:20.678291,2024-05-17T11:20:21.3518478,673,5,0541,r1b1kbnr/ppp2ppp/2n5/1Bp1p3/3qP3/1P2Q3/P2P1PPP/RNB1K2R b
12,2024-05-17T11:21:50.1176751,2024-05-17T11:21:54.2053011,4087,5,4152,r1b1kbnr/ppp2ppp/2B5/2p1p3/4P3/1P2Q3/P2P1PPP/qNB1K2R b
12,2024-05-17T11:22:22.4054766,2024-05-17T11:22:23.6158609,1210,5,1333,r1b1kbnr/p1p2ppp/2p5/2p1p3/3PP3/1P2Q3/P4PPP/qNB1K2R b
12,2024-05-17T11:23:03.2126861,2024-05-17T11:23:06.60852,3395,5,2446,r1b1kbnr/p1p2ppp/2p5/2p1p1Q1/3PP3/1P6/P4PPP/1qB1K2R b
12,2024-05-17T11:23:36.1406061,2024-05-17T11:23:41.6691804,5528,5,0235,r1b1kbnr/p1p2ppp/2p5/2p1p1Q1/3PPB2/1P6/q4PPP/4K2R b
12,2024-05-17T11:24:32.5960676,2024-05-17T11:24:34.0620381,1465,5,4635,r1b1kbnr/p1p2ppp/2p5/2p5/3PPQ2/1P6/q4PPP/4K2R b
12,2024-05-17T11:25:06.5636321,2024-05-17T11:25:07.5535659,989,5,2131,r1b1kbnr/p1p2ppp/2p5/8/1P1pPQ2/8/q4PPP/4K2R b
12,2024-05-17T11:46:59.6185233,2024-05-17T11:47:02.9465814,3328,5,1434,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b
12,2024-05-17T11:47:32.7129652,2024-05-17T11:47:38.7501918,6037,5,1232,rnbqkbnr/pppp1ppp/8/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR b
12,2024-05-17T11:47:47.4624504,2024-05-17T11:47:52.3045154,4842,5,1333,rnbq1bnr/ppppkppp/8/4p3/2PPP3/8/PP3PPP/RNBQKBNR b
12,2024-05-17T11:48:03.8314095,2024-05-17T11:48:11.6021042,7770,5,0627,rnbq1bnr/pppp1ppp/3k4/4p3/2PPP3/7N/PP3PPP/RNBQKB1R b
12,2024-05-17T11:48:30.6072217,2024-05-17T11:48:33.2478743,2640,5,3344,rnbq1bnr/pppp1ppp/2k5/4P3/2P1P3/7N/PP3PPP/RNBQKB1R b
12,2024-05-17T11:48:43.6781444,2024-05-17T11:48:51.7812605,8103,5,2746,rnbq1bnr/pppp1ppp/8/2k1P1N1/2P1P3/8/PP3PPP/RNBQKB1R b
12,2024-05-17T11:48:59.7110938,2024-05-17T11:49:05.2005972,5489,5,0532,rnbq1bnr/pppp1ppp/8/4P1N1/2B1P3/8/PP3PPP/RNBQK2R b
12,2024-05-17T11:49:15.8781738,2024-05-17T11:49:21.5899023,5711,5,4665,rnbq1bnr/ppp2Npp/3p4/4P3/2B1P3/8/PP3PPP/RNBQK2R b
12,2024-05-20T16:38:34.2951268,2024-05-20T16:38:36.1297226,1834,6,5153,k7/8/3QK3/1R6/8/8/8/8 b
12,2024-05-20T16:44:41.9395491,2024-05-20T16:44:42.0896446,150,6,5173,k2Q4/8/4K3/1R6/8/8/8/8 b
12,2024-05-20T16:45:15.3647629,2024-05-20T16:45:16.2847301,919,6,7364,8/k3Q3/4K3/1R6/8/8/8/8 b
12,2024-05-20T16:53:58.3816854,2024-05-20T16:53:58.6572891,275,6,5173,k2Q4/8/4K3/1R6/8/8/8/8 b
12,2024-05-20T16:58:03.4906603,2024-05-20T16:58:04.0409559,550,6,5140,k7/8/4K3/QR6/8/8/8/8 b
12,2024-05-20T18:21:33.5785676,2024-05-20T18:21:54.3520575,20773,6,0122,rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b
12,2024-05-20T18:22:18.3370296,2024-05-20T18:22:51.7540269,33416,6,1333,rnbqkbnr/pppp1ppp/8/4p3/3P4/2N5/PPP1PPPP/R1BQKBNR b
12,2024-05-20T18:23:17.588525,2024-05-20T18:23:44.7564655,27167,6,0333,rnbqkbnr/pppp1ppp/8/8/3Q4/2N5/PPP1PPPP/R1B1KBNR b
12,2024-05-20T18:23:59.0165349,2024-05-20T18:24:25.3174616,26300,6,3344,rnbqkbnr/pp1p1ppp/8/2p1Q3/8/2N5/PPP1PPPP/R1B1KBNR b
12,2024-05-20T18:24:57.3411401,2024-05-20T18:25:22.5202734,25179,6,4464,rnb1kbnr/pp1pQppp/8/2p5/8/2N5/PPP1PPPP/R1B1KBNR b
12,2024-05-20T18:25:45.500592,2024-05-20T18:26:20.4195342,34918,6,1434,rnb1k1nr/pp1pbppp/8/2p5/4P3/2N5/PPP2PPP/R1B1KBNR b
12,2024-05-20T18:26:38.4924201,2024-05-20T18:27:16.2099574,37717,6,2230,rnb1k1nr/1p1pbppp/p7/2p5/N3P3/8/PPP2PPP/R1B1KBNR b
12,2024-05-20T18:27:36.3375447,2024-05-20T18:27:47.0538175,10716,6,3051,rnb1k1nr/1p1pb1pp/pN6/2p2p2/4P3/8/PPP2PPP/R1B1KBNR b
12,2024-05-20T18:28:06.6014777,2024-05-20T18:28:35.8050787,29203,6,5170,Nnb1k1nr/1p1pb1pp/p7/2p5/4p3/8/PPP2PPP/R1B1KBNR b
12,2024-05-20T18:28:51.0356979,2024-05-20T18:29:07.7040563,16668,6,7062,1nb1k1nr/1pN1b1pp/p2p4/2p5/4p3/8/PPP2PPP/R1B1KBNR b
12,2024-05-20T18:29:29.5597958,2024-05-20T18:29:43.4671214,13907,6,6243,1nbk2nr/1p2b1pp/p2p4/2pN4/4p3/8/PPP2PPP/R1B1KBNR b
12,2024-05-20T18:30:09.324334,2024-05-20T18:30:42.3660456,33041,6,4351,1nbk2nr/4b1pp/pN1p4/2p5/4p3/8/PPP2PPP/R1B1KBNR b
12,2024-05-20T18:30:58.9093514,2024-05-20T18:31:32.1219137,33212,6,0532,1nbk2nr/4b1pp/pN1p4/2p5/2B1p3/8/PPP2PPP/R1B1K1NR b
12,2024-05-20T18:31:53.0739033,2024-05-20T18:32:20.865101,27791,6,0246,1nbk1bnr/6pp/pN1p4/2p3B1/4p3/8/PPP2PPP/R3KBNR b
12,2024-05-20T18:34:42.7035042,2024-05-20T18:35:01.7805217,19077,6,5172,1nN1kbnr/6pp/p2p4/2p3B1/4p3/8/PPP2PPP/R3KBNR b
12,2024-05-20T18:35:27.2361935,2024-05-20T18:35:34.0794252,6843,6,7253,1n2kb1r/4n1pp/p2N4/2p3B1/4p3/8/PPP2PPP/R3KBNR b
12,2024-05-20T18:35:53.13842,2024-05-20T18:36:02.4056947,9267,6,5365,1n1k1b1r/4nNpp/p7/2p3B1/4p3/8/PPP2PPP/R3KBNR b
12,2024-05-20T18:36:40.8201622,2024-05-20T18:36:58.9851597,18164,6,6577,1n3b1N/3kn1pp/p7/2p3B1/4p3/8/PPP2PPP/R3KBNR b
12,2024-05-20T18:37:11.7958831,2024-05-20T18:37:50.267226,38471,6,0003,1nk2b1N/4n1pp/p7/2p3B1/4p3/8/PPP2PPP/3RKBNR b
12,2024-05-20T18:38:18.7061604,2024-05-20T18:38:56.9578679,38251,6,7765,1n3b2/2k1nNpp/p7/2p3B1/4p3/8/PPP2PPP/3RKBNR b
12,2024-05-20T18:39:13.4280673,2024-05-20T18:39:48.9885724,35560,6,4635,1n3b2/2k2Npp/p1n5/2p5/4pB2/8/PPP2PPP/3RKBNR b
12,2024-05-20T18:40:30.6766747,2024-05-20T18:41:04.6773279,34000,6,3553,1nk2b2/5Npp/p1nB4/2p5/4p3/8/PPP2PPP/3RKBNR b
12,2024-05-20T18:41:37.0522426,2024-05-20T18:41:42.2492993,5197,6,5375,1nk2B2/5Npp/p7/2p5/3np3/8/PPP2PPP/3RKBNR b
12,2024-05-20T18:42:05.8356321,2024-05-20T18:42:08.551596,2715,6,0413,1nk2B2/5Npp/p7/2p5/4p3/8/PPnK1PPP/3R1BNR b
12,2024-05-20T18:42:31.2319669,2024-05-20T18:42:45.5959197,14363,6,1312,1n3B2/1k3Npp/p7/2p5/4p3/8/PPK2PPP/3R1BNR b
12,2024-05-20T18:42:58.8441017,2024-05-20T18:43:30.0590401,31214,6,6553,1n3B2/1k4p1/p2N4/2p4p/4p3/8/PPK2PPP/3R1BNR b
12,2024-05-20T18:43:50.0023945,2024-05-20T18:44:03.3247299,13322,6,5334,1n3B2/6p1/p1k5/2p4p/4N3/8/PPK2PPP/3R1BNR b
12,2024-05-20T18:44:19.8640286,2024-05-20T18:44:37.1723724,17308,6,7566,1n6/1k4B1/p7/2p4p/4N3/8/PPK2PPP/3R1BNR b
12,2024-05-20T18:44:57.8812637,2024-05-20T18:45:16.3365376,18455,6,3442,1n6/2k3B1/p7/2N4p/8/8/PPK2PPP/3R1BNR b
